@category אנשים, מקצועות וחגים

# ── מי שמטפל בנו ─────────────────────────────────────────────────────────────
doctor | רופא | nurse | paramedic | vet | pharmacist | psychologist
dentist | רופא שנים | nurse | vet | paramedic | pharmacist | psychologist
nurse | אחות | doctor | paramedic | pharmacist | vet | psychologist
paramedic | פרמדיק | nurse | doctor | firefighter | lifeguard | pharmacist
pharmacist | רוקח | doctor | nurse | vet | scientist | paramedic
vet | וטרינר | doctor | nurse | shepherd | farmer | pharmacist
psychologist | פסיכולוג | doctor | teacher | nurse | scientist | lawyer
lifeguard | מַצִּיל | paramedic | firefighter | guard | coach | policeman

# ── מי ששומר עלינו ───────────────────────────────────────────────────────────
policeman | שוטר | firefighter | soldier | guard | detective | lifeguard
firefighter | כבאי | policeman | paramedic | soldier | lifeguard | guard
soldier | חיל | policeman | firefighter | guard | pilot | sailor
guard | מאבטח | policeman | soldier | lifeguard | detective | firefighter
detective | בַּלָּשׁ | policeman | guard | lawyer | judge | scientist
judge | שופט | lawyer | policeman | detective | coach | teacher
lawyer | עורך דין | judge | detective | journalist | writer | policeman

# ── מי שמלמד ─────────────────────────────────────────────────────────────────
teacher | מורה | kindergarten-teacher | coach | librarian | psychologist | scientist
kindergarten-teacher | גַּנֶּנֶת | teacher | librarian | coach | nurse | mother
coach | מאמן | teacher | lifeguard | judge | kindergarten-teacher | dancer
librarian | סַפְרָן | teacher | writer | kindergarten-teacher | journalist | scientist
scientist | מַדְעָן | astronaut | programmer | engineer | psychologist | detective
astronaut | אַסְטְרוֹנָאוּט | pilot | scientist | engineer | sailor | soldier

# ── מי שבונה ומתקן ───────────────────────────────────────────────────────────
carpenter | נגר | builder | electrician | plumber | architect | tailor
builder | בנאי | carpenter | plumber | electrician | architect | engineer
electrician | חשמלאי | plumber | carpenter | builder | engineer | programmer
plumber | אינסטלטור | electrician | carpenter | builder | engineer | architect
architect | אדריכל | engineer | builder | carpenter | artist | programmer
engineer | מהנדס | architect | programmer | electrician | scientist | builder
programmer | מתכנת | engineer | scientist | architect | electrician | astronaut

# ── מי שנוסע ומוביל ──────────────────────────────────────────────────────────
pilot | טיס | flight-attendant | sailor | driver | astronaut | soldier
flight-attendant | דיל | pilot | waiter | sailor | driver | guard
sailor | יַמַּאי | fisherman | pilot | driver | soldier | astronaut
driver | נהג | pilot | sailor | mailman | flight-attendant | seller
mailman | דור | driver | seller | guard | waiter | policeman

# ── מי שעושה אוכל ────────────────────────────────────────────────────────────
chef | שף | cook | baker | butcher | waiter | farmer
cook | טַבָּח | chef | baker | butcher | waiter | seller
baker | אופה | chef | cook | butcher | seller | farmer
butcher | קצב | baker | cook | chef | fisherman | seller
waiter | מלצר | chef | cook | seller | flight-attendant | barber
seller | מוכר | waiter | butcher | baker | mailman | barber

# ── מי שעובד באדמה ובים ──────────────────────────────────────────────────────
farmer | חקלאי | gardener | shepherd | fisherman | vet | butcher
gardener | גנן | farmer | shepherd | carpenter | fisherman | builder
shepherd | רוֹעֶה | farmer | gardener | vet | fisherman | soldier
fisherman | דיג | sailor | farmer | shepherd | butcher | gardener

# ── מי שיוצר ומופיע ──────────────────────────────────────────────────────────
actor | שחקן | singer | dancer | clown | musician | magician
singer | זמר | musician | actor | dancer | clown | writer
musician | נגן | singer | actor | dancer | clown | writer
dancer | רקדן | singer | actor | musician | coach | clown
clown | לֵיצָן | magician | actor | acrobat | singer | dancer
magician | קוֹסֵם | clown | acrobat | actor | detective | singer
acrobat | לוּלְיָן | clown | magician | dancer | actor | coach
artist | ציר | sculptor | photographer | writer | architect | actor
sculptor | פסל | artist | carpenter | photographer | architect | builder
photographer | צלם | artist | journalist | sculptor | writer | actor
writer | סופר | journalist | artist | librarian | singer | lawyer
journalist | עתונאי | writer | photographer | lawyer | librarian | artist
barber | ספר | tailor | waiter | seller | photographer | gardener
tailor | חיט | barber | carpenter | seller | artist | sculptor

# ── במשפחה ───────────────────────────────────────────────────────────────────
mother | אִמָּא | father | grandmother | grandfather | parents | brother
father | אַבָּא | mother | grandfather | grandmother | parents | brother
parents | הוֹרִים | mother | father | grandmother | grandfather | brother
grandmother | סָבְתָא | grandfather | mother | father | aunt | grandchild
grandfather | סַבָּא | grandmother | father | mother | uncle | grandchild
brother | אָח | twins | cousin | mother | father | baby
twins | תְּאוֹמִים | brother | cousin | baby | boy | grandfather
uncle | דּוֹד | grandfather | father | grandmother | twins | brother
aunt | דּוֹדָה | grandmother | mother | grandfather | twins | grandchild
cousin | בֶּן דּוֹד | brother | twins | grandchild | baby | toddler
grandchild | נֶכֶד | grandmother | grandfather | brother | cousin | baby
baby | תִּינוֹק | boy | twins | brother | toddler | grandchild
toddler | פָּעוֹט | baby | boy | twins | brother | grandchild
boy | יֶלֶד | baby | teenager | twins | toddler | grandchild
girl | יַלְדָּה | baby | teenager | twins | toddler | grownup
teenager | נַעַר | boy | grownup | brother | cousin | friend
grownup | מְבֻגָּר | teenager | parents | uncle | neighbor | friend
friend | חָבֵר | neighbor | guest | boy | teenager | grownup
neighbor | שָׁכֵן | friend | guest | grownup | uncle | bride
guest | אוֹרֵחַ | neighbor | friend | bride | groom | party
bride | כַּלָּה | groom | chuppah | party | guest | present
groom | חָתָן | bride | chuppah | party | guest | present

# ── מי שיש בסיפורים ──────────────────────────────────────────────────────────
king | מֶלֶךְ | prince | knight | giant | groom | bride
queen | מַלְכָּה | princess | fairy | knight | groom | bride
prince | נָסִיךְ | king | knight | giant | groom | pirate
princess | נְסִיכָה | queen | fairy | knight | pirate | giant
knight | אַבִּיר | prince | king | pirate | giant | soldier
pirate | פִּירָט | knight | sailor | thief | giant | king
giant | עֲנָק | knight | king | fairy | hero | pirate
fairy | פֵּיָה | princess | queen | magician | giant | hero
hero | גִּבּוֹר | knight | giant | fairy | king | pirate
thief | גַּנָּב | pirate | detective | policeman | knight | giant

# ── חגים ─────────────────────────────────────────────────────────────────────
rosh-hashana | ראש השנה | yom-kippur | sukkot | hanukkah | purim | pesach
yom-kippur | יום כפור | rosh-hashana | sukkot | fast | prayer | shabbat
sukkot | סכות | sukkah | lulav | etrog | simchat-torah | rosh-hashana
simchat-torah | שמחת תורה | sukkot | hanukkah | shavuot | purim | yom-kippur
hanukkah | חנכה | dreidel | purim | pesach | rosh-hashana | simchat-torah
tu-bishvat | טו בשבט | hanukkah | purim | shavuot | lag-baomer | pesach
purim | פורים | noisemaker | mishloach-manot | hanukkah | pesach | party
pesach | פסח | seder | haggadah | afikoman | purim | shavuot
yom-haatzmaut | יום העצמאות | flag | fireworks | mangal | lag-baomer | shavuot
lag-baomer | לג בעמר | mangal | yom-haatzmaut | tu-bishvat | shavuot | fireworks
shavuot | שבועות | pesach | sukkot | tu-bishvat | torah | lag-baomer
tisha-beav | תשעה באב | yom-kippur | fast | prayer | shabbat | rosh-hashana
shabbat | שבת | kiddush | prayer | siddur | torah | tisha-beav

# ── מה שיש בחג ───────────────────────────────────────────────────────────────
sukkah | סכה | lulav | etrog | sukkot | simchat-torah | party
lulav | לולב | etrog | sukkah | sukkot | torah | prayer
etrog | אתרוג | lulav | sukkah | sukkot | torah | prayer
hanukkiah | חנכיה | dreidel | shabbat-candles | present | party | etrog
dreidel | סביבון | hanukkiah | noisemaker | present | party | shabbat-candles
shabbat-candles | נרות שבת | kiddush | hanukkiah | siddur | prayer | dreidel
kiddush | קדוש | shabbat-candles | torah | prayer | siddur | mishloach-manot
mishloach-manot | משלוח מנות | noisemaker | purim | present | party | charity
noisemaker | רעשן | mishloach-manot | purim | dreidel | party | present
seder | סדר | haggadah | afikoman | pesach | prayer | noisemaker
haggadah | הגדה | seder | afikoman | pesach | torah | noisemaker
afikoman | אפיקומן | seder | haggadah | pesach | present | party
torah | תורה | siddur | prayer | mezuzah | bar-mitzvah | afikoman
siddur | סדור | torah | prayer | mezuzah | kiddush | haggadah
prayer | תפלה | siddur | torah | kiddush | fast | mezuzah
mezuzah | מזוזה | torah | siddur | prayer | kiddush | shabbat
fast | צום | yom-kippur | tisha-beav | prayer | charity | shabbat
charity | צדקה | fast | prayer | present | mitzvah | mishloach-manot
mitzvah | מִצְוָה | charity | prayer | fast | present | friend
bar-mitzvah | בר מצוה | chuppah | party | torah | present | charity
bat-mitzvah | בת מצוה | chuppah | party | torah | present | charity
chuppah | חפה | bride | groom | bar-mitzvah | party | present

# ── חוגגים ───────────────────────────────────────────────────────────────────
party | מְסִבָּה | present | fireworks | guest | mangal | flag
present | מַתָּנָה | party | fireworks | guest | bar-mitzvah | charity
fireworks | זִקּוּקִים | party | flag | yom-haatzmaut | mangal | present
flag | דֶּגֶל | yom-haatzmaut | fireworks | party | mangal | lag-baomer
mangal | מַנְגָּל | lag-baomer | yom-haatzmaut | party | flag | fireworks
