@category טבע ומזג אוויר

# ── הרים ובקעות ──────────────────────────────────────────────────────────────
mountain | הר | hill | summit | valley | cliff | volcano
summit | פסגה | mountain | hill | cliff | slope | valley
hill | גבעה | mountain | valley | plain | summit | slope
slope | מִדְרוֹן | hill | cliff | mountain | summit | path
valley | עמק | hill | plain | mountain | wadi | field
plain | מישור | valley | field | desert | hill | land
wadi | וָאדִי | valley | stream | desert | cave | path
cliff | צוק | mountain | cave | rock | summit | slope
cave | מערה | cliff | rock | mountain | wadi | stone
rock | סלע | stone | cliff | cave | mountain | sand
stone | אבן | rock | sand | soil | dust | cave
sand | חול | soil | stone | desert | beach | dust
soil | אדמה | sand | mud | dust | stone | field
mud | בץ | soil | puddle | sand | dust | rain
dust | אָבָק | sand | soil | smoke | mud | stone
desert | מדבר | sand | plain | wadi | heat | dryness
forest | יער | field | grove | desert | mountain | valley
grove | חֹרְשָׁה | forest | field | path | valley | hill
pole | קֹטֶב | glacier | ice | snow | cold | continent
field | שדה | forest | plain | valley | soil | grove
path | שְׁבִיל | field | forest | slope | wadi | view
island | אי | bay | beach | sea | ocean | volcano
bay | מפרץ | island | beach | sea | ocean | lake
sunbeam | קֶרֶן שֶׁמֶשׁ | sun | light | shade | sunrise | sky
land | יַבָּשָׁה | continent | island | sea | soil | plain
continent | יַבֶּשֶׁת | land | island | ocean | earth | sea

# ── מים ──────────────────────────────────────────────────────────────────────
sea | ים | ocean | lake | beach | sea-wave | river
ocean | אוקינוס | sea | lake | sea-wave | continent | island
beach | חוף | sea | sand | sea-wave | bay | island
sea-wave | גל | sea | ocean | foam | current | beach
foam | קֶצֶף | sea-wave | current | sea | drop | dew
current | זֶרֶם | sea-wave | river | stream | foam | waterfall
river | נהר | stream | lake | waterfall | current | spring
stream | נחל | river | spring | waterfall | wadi | lake
waterfall | מפל | river | stream | spring | current | cliff
spring | מעין | well | stream | river | waterfall | puddle
well | באר | spring | puddle | lake | river | stream
lake | אגם | sea | river | bay | ocean | stream
glacier | קרחון | ice | snow | mountain | frost | cold
volcano | הר געש | lava | mountain | earthquake | summit | cliff
lava | לבה | volcano | fire | smoke | mountain | heat
earthquake | רעידת אדמה | volcano | tsunami | flood | storm | lava
tsunami | צונאמי | sea-wave | flood | earthquake | storm | ocean
flood | שטפון | rain | tsunami | puddle | storm | river

# ── גשם ושלג ─────────────────────────────────────────────────────────────────
rain | גשם | drizzle | showers | drop | storm | cloud
drizzle | טפטוף | rain | showers | drop | dew | fog
showers | ממטרים | rain | drizzle | storm | hail | cloud
drop | טפה | drizzle | dew | rain | puddle | foam
puddle | שלולית | rain | mud | drop | flood | dew
snow | שלג | hail | frost | ice | glacier | cold
hail | ברד | snow | ice | frost | rain | storm
ice | קרח | snow | frost | glacier | hail | cold
frost | כפור | ice | snow | dew | cold | hail
dew | טל | frost | drop | drizzle | fog | rain

# ── רוח ושמש ─────────────────────────────────────────────────────────────────
wind | רוח | gust | storm | tempest | cloud | tornado
gust | משב | wind | storm | tempest | tornado | cloud
storm | סופה | tempest | wind | hurricane | tornado | rain
tempest | סערה | storm | wind | hurricane | tornado | gust
hurricane | הוריקן | tornado | storm | tempest | wind | flood
tornado | טורנדו | hurricane | storm | tempest | gust | wind
cloud | ענן | fog | rain | sky | cloudy | sun
