# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
soccer | מוּנְדִּיאָל | נַעֲלֵי פְּקָקִים | רַק בָּרַגְלַיִם
basketball | גֹּבַהּ | לוּחַ | קוֹלְעִים לְמַעְלָה
volleyball | חוֹף | חוֹל | תָּמִיד בָּאֲוִיר
handball | פַּרְקֶט | זְרִיקָה | תּוֹפְסִים וְזוֹרְקִים
dodgeball | הַפְסָקָה | קַו בָּאֶמְצַע | נִפְגָּע וְיוֹצֵא
tennis | קִיר | כִּסֵּא שׁוֹפֵט | קְרָב יְחִידִים
pingpong | זְרִיזוּת | מוֹעֲדוֹן | הַקָּטָן שֶׁבַּמִּשְׂחָקִים
badminton | גִּנָּה | נוֹצָה | קַל מְאֹד
baseball | אָמֶרִיקָה | כְּפָפָה גְּדוֹלָה | חוֹבְטִים וְרָצִים
golf | דִּיּוּק | מַקֵּל אָרֹךְ | שֶׁקֶט וְאִטִּי
rugby | הִתְנַגְּשׁוּת | דֶּשֶׁא בֹּצִי | מֻתָּר לִתְפֹּס
hockey | קֶרַח | מַקֵּל מְעֻקָּל | מַחֲלִיקִים וּמַכִּים
ball | אֲוִיר | מַשְׁאֵבָה | עָגֹל וְקוֹפֵץ
racket | אֲחִיזָה | מֵיתָרִים | קַל וּמָתוּחַ
net | הַפְרָדָה | חוּטִים | מְתוּחָה בָּאֶמְצַע
goal | צַעֲקָה | עַמּוּדִים | שָׁוֶה נְקֻדָּה
goalkeeper | הֲגָנָה | כְּפָפוֹת | מֻתָּר בַּיָּדַיִם
kick | רֶגֶל | נַעַל | חֲזָקָה וּמְדֻיֶּקֶת
pass | שִׁתּוּף | חָבֵר | מַעֲבִירִים הָלְאָה
jump | גֹּבַהּ | מִזְרָן | רַגְלַיִם בָּאֲוִיר
swimming | בְּרֵכָה | בֶּגֶד יָם | נוֹשְׁמִים בַּצַּד
diving | עֹמֶק | מַסֵּכָה | יוֹרְדִים לְמַטָּה
surfing | גַּל | יָם סוֹעֵר | עוֹמְדִים בַּמַּיִם
sailing | רוּחַ | מִפְרָשׂ | בְּלִי מָנוֹעַ
rowing | סִירָה | מָשׁוֹט | קָדִימָה וְאָחוֹרָה
running | נְשִׁימָה | שְׁבִיל | הַפְּשׁוּטָה מִכֻּלָּם
walking | בְּרִיאוּת | כּוֹבַע | אִטִּית וַאֲרֻכָּה
marathon | מֶרְחָק עָצוּם | מִסְפָּר חָזֶה | נִמְשָׁךְ שָׁעוֹת
athletics | אִצְטַדְיוֹן | מַסְלוּל אָדֹם | סוּגִים רַבִּים
gymnastics | גְּמִישׁוּת | קוֹרָה | מִתְהַפְּכִים בָּאֲוִיר
yoga | נְשִׁימָה | מִזְרָן | אִטִּית וּרְגוּעָה
stretches | לִפְנֵי וְאַחֲרֵי | מִזְרָן | מוֹנְעוֹת כְּאֵבִים
warmup | הַתְחָלָה | שָׁעוֹן | קוֹדֵם לַכֹּל
pushups | רִצְפָּה | יָדַיִם | עוֹלִים וְיוֹרְדִים
situps | כֹּחַ | מִזְרָן | מִתְרוֹמְמִים וְחוֹזְרִים
weights | חֲדַר כֹּשֶׁר | מַתֶּכֶת | כְּבֵדוֹת מְאֹד
training | הִתְמָדָה | לוּחַ זְמַנִּים | פַּעֲמַיִם בְּשָׁבוּעַ
