@category בגדים, צבעים וצורות

# ── מה שלובשים למעלה ─────────────────────────────────────────────────────────
clothes | בְּגָדִים | shirt | pants | dress | coat | shoes
shirt | חלצה | tanktop | sweater | pants | collar | clothes
tshirt | חֻלְצַת טִי | tanktop | sweater | hoodie | shorts | clothes
tanktop | גופיה | tshirt | shorts | underwear | pajamas | sweater
sweater | סודר | hoodie | jacket | coat | shirt | vest
hoodie | קפוצ'ון | sweater | jacket | tracksuit | coat | tshirt
jacket | ג'קט | coat | sweater | hoodie | vest | suit
coat | מעיל | jacket | sweater | scarf | hoodie | vest
raincoat | מְעִיל גֶּשֶׁם | umbrella | boots | jacket | scarf | vest
vest | אפדה | sweater | jacket | shirt | suit | coat
suit | חליפה | uniform | tie | jacket | dress | vest
uniform | מדים | suit | tracksuit | tie | shirt | hat
robe | חלוק | pajamas | tracksuit | dress | slippers | overall
pajamas | פיג'מה | robe | tracksuit | tanktop | underwear | slippers
tracksuit | טרנינג | hoodie | pajamas | uniform | sneakers | shorts
overall | סרבל | pajamas | dress | shorts | skirt | tracksuit

# ── מה שלובשים למטה ──────────────────────────────────────────────────────────
pants | מכנסים | jeans | skirt | tights | tracksuit | overall
jeans | ג'ִינְס | pants | skirt | overall | shirt | tracksuit
shorts | מכנסים קצרים | jeans | skirt | swimsuit | tshirt | dress
skirt | חצאית | dress | pants | tights | jeans | underwear
dress | שמלה | skirt | overall | suit | tights | robe
tights | גרביונים | socks | skirt | pants | dress | shoes
underwear | תחתונים | tanktop | socks | pajamas | swimsuit | shorts
swimsuit | בגד ים | shorts | flipflops | underwear | tanktop | sunglasses

# ── נעליים ───────────────────────────────────────────────────────────────────
shoes | נעלים | sneakers | sandals | boots | socks | shoelace
sneakers | נַעֲלֵי סְפּוֹרְט | shoes | sandals | boots | flipflops | shoelace
sandals | סנדלים | flipflops | shoes | sneakers | boots | swimsuit
boots | מגפים | shoes | sneakers | sandals | socks | flipflops
flipflops | כפכפים | sandals | slippers | shoes | swimsuit | boots
slippers | נַעֲלֵי בַּיִת | flipflops | sandals | socks | robe | boots
heels | עקבים | shoes | sandals | boots | dress | sneakers
socks | גרבים | tights | shoes | slippers | underwear | heels
shoelace | שרוך | shoes | sneakers | boots | button | ribbon

# ── על הראש ובידיים ──────────────────────────────────────────────────────────
hat | כובע | kippah | kerchief | crown | scarf | shoelace
cap | כּוֹבַע מִצְחִיָּה | kippah | sunglasses | sneakers | kerchief | shoelace
kippah | כפה | hat | kerchief | crown | scarf | shoelace
kerchief | מטפחת | scarf | hat | kippah | ribbon | gloves
scarf | צעיף | gloves | coat | kerchief | hat | sweater
gloves | כפפות | scarf | socks | coat | hat | boots
crown | כֶּתֶר | hat | mask | costume | necklace | ring
mask | מַסֵּכָה | costume | crown | sunglasses | hat | glasses
costume | תחפשת | mask | crown | uniform | dress | hat
glasses | משקפים | sunglasses | mask | earring | necklace | wristwatch
sunglasses | משקפי שמש | glasses | cap | swimsuit | mask | wristwatch
wristwatch | שָׁעוֹן יָד | glasses | bracelet | ring | necklace | earring

# ── תכשיטים ואביזרים ─────────────────────────────────────────────────────────
necklace | שרשרת | bracelet | ring | earring | crown | pin
bracelet | צמיד | necklace | ring | earring | wristwatch | pin
ring | טבעת | earring | bracelet | necklace | crown | pin
earring | עגיל | ring | necklace | bracelet | pin | crown
pin | סִיכָּה | ring | earring | button | ribbon | bracelet
ribbon | סֶרֶט | pin | hairband | braid | shoelace | kerchief
hairband | גֻּמִּיָּה | ribbon | braid | ponytail | pin | kerchief
braid | צַמָּה | ponytail | hairband | ribbon | kerchief | pin
ponytail | קוּקוּ | braid | hairband | ribbon | pin | kerchief
bag | תיק | wallet | umbrella | pocket | clothes | shoes
wallet | ארנק | bag | pocket | pin | ring | umbrella
umbrella | מטריה | raincoat | boots | bag | hat | wallet
belt | חגורה | pants | buckle | jeans | pocket | shoes
